Days,Clinton,Bernie,Trump,Cruz,,,,,,,,,,,,normscore
2/7/2016,-0.295107098,0.391432977,-0.157320951,-0.617240559,,,,,,,,,,,,
2/8/2016,-0.226638065,0.081010677,-0.091512571,-0.439081584,,,,,,,,,,,,
2/9/2016,0.131528723,0.969673058,1,-0.081950181,,,,,,,,,,,,
2/10/2016,0.124329653,0.564551788,0.108383539,-0.195909817,,,,,,,,,,,,
2/11/2016,0.247696646,0.335437034,0.269933629,-0.277091865,,,,,,,,,,,,
2/12/2016,0.047207552,0.330067264,0.0073908,-0.173180304,,,,,,,,,,,,
2/13/2016,-0.082374199,0.066964558,-0.420323599,-0.323019347,,,,,,,,,,,,
2/14/2016,-0.076190453,0.147076288,-0.004586418,-0.48138777,,,,,,,,,,,,
2/15/2016,-0.306534612,0.294357487,0.084090394,-0.504070578,,,,,,,,,,,,
2/17/2016,-0.222809025,0.723521306,-0.245197186,-0.86420759,,,,,,,,,,,,
2/18/2016,0.058474614,0.181360188,-0.347661091,-0.478635458,,,,,,,,,,,,
2/19/2016,-0.052883974,-0.028972074,-0.174460926,-0.436645735,,,,,,,,,,,,
2/20/2016,0.646610207,0.330104088,0.55224896,-0.149520494,,,,,,,,,,,,
2/21/2016,0.30628566,0.060088756,0.32694214,-0.317828659,,,,,,,,,,,,
2/22/2016,0.094656283,0.017337248,-0.079471262,-0.527802788,,,,,,,,,,,,
2/23/2016,-0.011498602,-0.288728987,-0.046719884,-0.380089881,,,,,,,,,,,,
2/24/2016,0.228342192,0.184301051,0.644956949,0.016194928,,,,,,,,,,,,
2/25/2016,-0.323031026,-0.108243813,0.121809704,0.008187881,,,,,,,,,,,,
2/26/2016,-0.12056352,-0.128761666,0.134164377,-0.104135331,,,,,,,,,,,,
2/27/2016,0.061427135,0.282130605,0.023144201,-0.381887907,,,,,,,,,,,,
2/28/2016,0.214530419,0.365017951,0.156876585,-0.184445479,,,,,,,,,,,,
2/29/2016,0.240054495,0.518590572,0.296831968,-0.310279048,,,,,,,,,,,,
3/1/2016,0.579221887,0.561957758,0.380496276,0.192174792,,,,,,,,,,,,
3/2/2016,0.26074216,0.655984283,0.201155322,-0.197083626,,,,,,,,,,,,
3/3/2016,-0.082881111,0.555126293,0.04773202,-0.276175176,,,,,,,,,,,,
3/4/2016,-0.051961492,0.112440361,-0.053641579,-0.476359496,,,,,,,,,,,,
3/5/2016,0.060258543,0.563674103,0.058700011,0.122536361,,,,,,,,,,,,
3/6/2016,-0.054588899,0.506664547,0.266110462,-0.209325023,,,,,,,,,,,,
3/7/2016,-0.126111225,0.125496836,0.134473886,-0.387317764,,,,,,,,,,,,
3/8/2016,0.279023709,0.594582186,0.086444074,-0.607331455,,,,,,,,,,,,
3/9/2016,0.038474761,0.466235587,0.111365709,-0.148038767,,,,,,,,,,,,
3/10/2016,-0.230008731,0.19320566,0.31612777,-0.327803589,,,,,,,,,,,,
3/11/2016,-0.050357018,0.345118598,0.568757237,-0.23611912,,,,,,,,,,,,
3/12/2016,-0.179977438,0.456107602,0.07925778,-0.209185478,,,,,,,,,,,,
3/13/2016,-0.010224406,0.388753832,0.05883705,-0.269670386,,,,,,,,,,,,
3/14/2016,0.077648847,0.365544249,-0.007331285,-0.605286484,,,,,,,,,,,,
3/15/2016,0.400925132,0.579213909,0.299737617,-0.044285565,,,,,,,,,,,,
3/16/2016,0.404426647,0.594870453,0.17249238,-0.030824708,,,,,,,,,,,,
3/17/2016,0.127900817,0.062523094,-0.035282277,-0.134147812,,,,,,,,,,,,
3/18/2016,0.00449233,-0.245015493,-0.020706469,-0.043349062,,,,,,,,,,,,
3/19/2016,0.083468137,-0.115105338,-0.202326522,-0.383099789,,,,,,,,,,,,
3/20/2016,0.019878506,0.126999725,-0.007626761,-0.474535161,,,,,,,,,,,,
3/21/2016,-0.192833108,-0.06319553,-0.220964088,-0.468164332,,,,,,,,,,,,
3/22/2016,-0.0801834,0.069280424,-0.258553835,-0.674358961,,,,,,,,,,,,
3/23/2016,-0.014909293,0.46874906,0.077921781,-0.073375759,,,,,,,,,,,,
3/24/2016,-0.23524858,0.116164093,-0.095747422,-0.322548402,,,,,,,,,,,,
3/25/2016,-0.079053063,0.036459814,-0.091418754,-0.393086865,,,,,,,,,,,,
3/26/2016,0.247129579,0.453413958,0.056838535,-0.599400659,,,,,,,,,,,,
3/27/2016,0.091417926,0.47688033,-0.38167296,-0.841230235,,,,,,,,,,,,
3/28/2016,-0.007388671,0.405795078,-0.103340534,-0.621742471,,,,,,,,,,,,
3/29/2016,-0.00852139,0.476152301,-0.113853718,-0.331104279,,,,,,,,,,,,
3/30/2016,0.015648876,0.255189852,-0.211046779,-0.435777847,,,,,,,,,,,,
3/31/2016,-0.178591333,0.017619222,-0.210552793,-0.581358187,,,,,,,,,,,,
4/1/2016,-0.077861615,0.093052126,0.167497734,-0.477675333,,,,,,,,,,,,
4/2/2016,-0.148932196,-0.122658436,-0.52166934,-1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
