Time,Economy,Immigration,Healthcare,Military,Gun_Control,China,Trade,Race,Climate_Change, Religion
01/01/2016,310504,552339,259034,450818,552339,259034,450818,1231572,1215966,641667
01/02/2016,52083,85640,42153,74257,85640,42153,74257,198724,183159,50277
01/03/2016,515910,828669,362642,601943,828669,362642,601943,1804762,1523681,862573
01/04/2016,202070,343207,157204,264160,343207,157204,264160,754420,727124,407205
01/05/2016,274659,449890,219981,853788,4499890,2159981,3853788,10604510,8819342,4114496
01/06/2016,358280,587154,261701,466194,52083,85640,42153,74257,85640,42153
01/07/2016,211637,403658,196918,325110,4499890,2159981,3853788,10604510,8819342,4114496
01/08/2016,59319,99496,47414,84464,201321,345409,165883,306398,750505,788485
01/09/2016,36352,50439,25225,75569,2141490,1058031,1999120,5355235,5120254,2607672
01/10/2016,114016,138695,92500,160297,1097890,492964,883397,2575603,2380685,1139052
01/11/2016,740521,125060,557860,919876,1011656,478505,769321,2379649,2335168,1150941
01/12/2016,87207,134025,64011,124834,111408,56198,114502,277779,282321,147646
01/13/2016,121746,201192,89702,147606,3277946,1420518,2454721,7017731,5656528,2472223
01/14/2016,894368,155819,725973,131179,750274,357782,610378,1850983,1762811,783877
01/15/2016,443089,780199,361393,605863,690476,331543,560463,1569626,1554812,805235
01/16/2016,201321,345409,165883,306398,3277946,1420518,2454721,7017731,5656528,2472223
01/17/2016,202529,342134,155822,293114,325650,142976,212379,769913,653357,296717
01/18/2016,284601,493536,229927,381394,887525,413004,768475,2203286,2033550,940577


